Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
1cBio,https://www.1cbio.com/,San Francisco,,,Small molecule to target hypophosphatasia,,BPG,2
64x Bio,https://64xbio.com/,San Francisco,,,High throughput discovery and design of enhanced cell lines for next-generation biomanufacturing and therapeutics,,BPG,5
858 Therapeutics,https://8five8tx.com/,San Diego,,,Precision Oncology,,BPG,6
92Bio,https://92biotech.com/,Hayward,,,Design of multispecific biologics for the treatment of cancer,,BPG,8
A2 Biotherapeutics,https://www.a2bio.com/,Agoura Hills,,,Immunotherapy,,BPG,9
A28 Therapeutics,https://a28therapeutics.com/,La Jolla,,,Targeted Lytic Peptides for the Treatment of Cancer,,BPG,10
AAA Biotech,https://www.aaabiotech.com/,La Jolla,,,"Antibodies, Proteins, ELISA kits",,BPG,11
ADAXION Therapeutics,https://adaxiontx.com/,San Diego,,,Deimmunized Biologics,,BPG,18
AKSO Biopharmaceutical,https://www.aksobio.com/,Los Angeles,,,Fusion Proteins,,BPG,24
ALLInBio,https://allinbio.com/,San Francisco,,,Precision Immunology,,BPG,25
ALZpath,https://alzpath.bio/,Carlsbad,,,Alzheimer's Diagnostic,,BPG,27
AMAG Pharmaceuticals,http://www.amagpharma.com,,,,,"AMAG Pharmaceuticals, Inc. is an American pharmaceutical company developing products that treat iron deficiency anemia (IDA) in adult patients.",Wikipedia,29
ARIZ Precision Medicine,https://arizbio.com/,Davis,,,Small Molecules,,BPG,32
ARNA Genomics,https://arna.bio/,Aliso Viejo,,,Breast Cancer Diagnostic System,,BPG,33
ARS Pharmaceuticals,https://ars-pharma.com/,San Diego,,,Nasal Spray Epinephrine,,BPG,34
Aanastra,https://aanastra.com/,Los Angeles,,,RNA therapeutics,,BPG,36
Aayam Therapeutics,https://aayamtx.com/,San Jose,,,505(b)(2),,BPG,39
AbbVie,https://www.abbvie.com/,Irvine,,,"Small Molecules, Biologics",,BPG,43
Abcepta,https://www.abcepta.com/,San Diego,,,Biotechnology Antibodies,,BPG,49
Abram Scientific,https://www.abramscientific.com/,South SF,,,Hemostasis Analysis,,BPG,55
Accelero Biostructures,https://www.accelerobio.com/,San Carlos,,,High-throughput protein X-ray crystallography-driven drug discovery and structural biology solutions,,BPG,59
Acceleron Pharma,http://acceleronpharma.com,,,,,"Acceleron Pharma, Inc.",Wikipedia,60
AccendoWave,https://www.accendowave.com/,Poway,,,Pain Relief Headband,,BPG,61
AccuDava,http://accudava.com/,La Jolla,,,Diagnostic Kits,,BPG,62
Accuray,https://www.accuray.com/,Sunnyvale,,,Directed Radiation Therapy,,BPG,64
Accuryn Medical,https://accuryn.com/,Hayward,,,Patient monitoring systems and devices,,BPG,66
AceLink Therapeutics,https://acelinktherapeutics.com/,Newark,,,Clinical stage drug discovery & development company focusing on rare genetic diseases,,BPG,67
Achira,https://achira.ai/,San Francisco,,,Atomistic foundation simulation models to power the future of drug discovery,,BPG,73
Acme Bioscience,https://www.acmeca.com/index.html,Palo Alto,,,"Medicinal chemistry, custom synthesis",,BPG,74
Acorda Therapeutics,http://www.acorda.com/,,,,,"Acorda Therapeutics, Inc. is an American biotechnology company based in Pearl River, New York.",Wikipedia,75
Acrigen Biosciences,https://www.acrigen.com/,Berkeley,,,Precision Gene Editing Systems to harness the power of CRISPR for use in human therapeutics,,BPG,76
Actym Therapeutics,https://www.actymthera.com/,Berkeley,,,Microbial-based immunotherapy platform,,BPG,80
Acura Pharmaceuticals,http://acurapharm.com/,,,,,Acura Pharmaceuticals Inc. is a pharmaceutical company focused on the development and commercialization of deterrents to medication abuse and misuse.,Wikipedia,81
Acurex Biosciences,https://www.acurex.com/,San Carlos,,,Neurodegenerative Treatments,,BPG,83
Adanate,https://adanate.com/,Alameda,,,Antibody Therapies,,BPG,86
Adaptyx Biosciences,https://adaptyx.bio/,Menlo Park,,,Biosensors,,BPG,87
Addition Therapeutics,https://additiontx.com/,South SF,,,RNA-mediated Insertion of Transgenes,,BPG,91
Advanced NanoTherapies,https://advancednanotherapies.com/,Santa Clara,,,Nanoparticle technologies that enable and improve drug uptake and retention into the cell for medical devices,,BPG,100
Adventris Pharmaceuticals,https://www.adventris.com/,San Francisco,,,Cancer Immunotherapy,,BPG,107
Aeovian Pharmaceuticals,https://www.aeovian.com/,Berkeley,,,Small Molecules,,BPG,110
Aequita Bioworks,https://www.aequitabioworks.com,San Carlos,,,Antibodies for Muscle Loss Reduction,,BPG,111
Aerie Pharmaceuticals,https://aeriepharma.com/,,,,,"Aerie Pharmaceuticals was an American clinical-stage pharmaceutical company focused on the discovery, development and commercialization of therapies for the treatment of patients with glaucoma and ...",Wikipedia,112
AeroRx Therapeutics,https://aerorxtx.com/,La Jolla,,,Nebulized 505(b)(2) product,,BPG,114
Agastiya Biotech,https://www.agastiyabiotech.com/,Carlsbad,,,Small Molecules,,BPG,120
