Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index,Google_Address,Google_Name,Google_Website,Confidence_Score,Latitude,Longitude
Mirvie,https://www.mirvie.com/,South SF,,,RNA Platform for Pregnancy Issues,,BPG,1394,"651 Gateway Blvd Suite 1200, South San Francisco, CA 94080, USA",Mirvie,https://mirvie.com/,0.9999999999999999,37.6594778,-122.3996915
Mission Bio,https://missionbio.com/,South SF,,,Single-cell nucleic acid characterization,,BPG,1395,"300 Utah Ave Suite 210, South San Francisco, CA 94080, USA",Mission Bio,http://missionbio.com/,0.9999999999999999,37.6462428,-122.3942186
Mizuho OSI,https://www.mizuhosi.com/,Union City,,,Surgical / hospital tables,,BPG,1399,"30031 Ahern Ave, Union City, CA 94587, USA",Mizuho OSI,http://www.mizuhosi.com/,0.9999999999999999,37.610548,-122.077439
Molecular Depot,https://moleculardepot.com/,San Diego,,,"Antibodies, Development",,BPG,1404,"9885 Mesa Rim Rd Suite 101, San Diego, CA 92121, USA",Molecular Depot LLC,https://moleculardepot.com/,0.9999999999999999,32.8983636,-117.1788119
Molecular Devices,https://www.moleculardevices.com/,San jose,,,"Biotechnology Lab Equipment, Machines, Servicing",,BPG,1405,"3860 N First St, San Jose, CA 95134, USA",Molecular Devices,http://www.moleculardevices.com/,0.9999999999999999,37.4137483,-121.9466464
Molecular Instruments,https://www.molecularinstruments.com/,Los Angeles,,,HCR RNA-FISH and immunofluorescence kits and protein imaging assays,,BPG,1406,"5015 Eagle Rock Blvd #301, Los Angeles, CA 90041, USA","Molecular Instruments, Inc.",http://www.molecularinstruments.com/,0.9999999999999999,34.1376026,-118.2149601
Molsoft,https://www.molsoft.com/,San Diego,,,Drug Design Software,,BPG,1407,"11199 Sorrento Valley Rd, San Diego, CA 92121, USA",Molsoft LLC,https://www.molsoft.com/,0.9999999999999999,32.9060462,-117.2264511
Monobind,https://www.monobind.com/,Lake Forest,,,IVD,,BPG,1408,"100 N Pointe Dr, Lake Forest, CA 92630, USA",Monobind Inc,http://www.monobind.com/,0.9999999999999999,33.6622968,-117.692725
Moonwalk Biosciences,https://moonwalk.bio/,South SF,,,Epigenetic discovery and editing platform,,BPG,1412,"2 Tower Pl 17th Floor, South San Francisco, CA 94080, USA",Moonwalk Biosciences,http://moonwalk.bio/,0.9999999999999999,37.6667835,-122.3972349
Moximed,https://moximed.com/,Fremont,,,Joint treatment,,BPG,1416,"46602 Landing Pkwy, Fremont, CA 94538, USA",Moximed,http://www.moximed.com/about/contact-us/,0.9999999999999999,37.484026,-121.9417114
Multiply Labs,https://multiplylabs.com/,San Francisco,,,Robotics for Cell Therapy Manufacturing,,BPG,1417,"1426 Minnesota St, San Francisco, CA 94107, USA",Multiply Labs,https://www.multiplylabs.com/,0.9999999999999999,37.7516058,-122.3898231
"Multispan, Inc.",https://multispaninc.com/,Hayward,,,"GPCR cell lines, assays and screening",,BPG,1418,"26219 Eden Landing Rd, Hayward, CA 94545, USA","Multispan, Inc.",http://multispaninc.com/,0.9999999999999999,37.6243346,-122.1229485
MuriGenics,https://www.murigenics.com/,Vallejo,,,In-vivo and in-vitro contract drug discovery and development services,,BPG,1420,"941 Railroad Ave, Vallejo, CA 94592, USA",MuriGenics,https://www.murigenics.com/,0.9999999999999999,38.1003481,-122.2725243
Murrieta Genomics,https://www.murrietagenomics.com/,Murrieta,,,"NGS services, sample preparation technologies, and genomic analysis platforms",,BPG,1421,"26442 Beckman Ct y, Murrieta, CA 92562, USA",Murrieta Genomics,https://www.murrietagenomics.com/,0.9999999999999999,33.5328585,-117.180399
MyBioSource,https://www.mybiosource.com/,San Diego,,,"ELISA Kit, Recombinant Protein, Antibody & custom kit productions. MyBioSource.com: One-Stop Reagent Shop with nearly 2 million Life Science Products.",,BPG,1423,"San Diego, CA 92123, USA",MyBiosource,,0.7999999999999999,32.8295792,-117.1347904
MyChem,https://mychemlabs.com/web/index.php,San Diego,,,Nucleotides,,BPG,1424,"9215 Brown Deer Rd, San Diego, CA 92121, USA",MyChem,https://mychemlabs.com/web/contact.php,0.9999999999999999,32.8889074,-117.1784711
MyOme,https://myome.com/,Palo Alto,,,Genomic Analysis,,BPG,1425,"535 Middlefield Rd suite 170, Menlo Park, CA 94025, USA",MyOme,http://myome.com/,0.9999999999999999,37.458447,-122.1729745
MyoGene Bio,https://www.myogenebio.com/,San Diego,,,Gene Editing Treatment,,BPG,1429,"7098 Miratech Dr #120, San Diego, CA 92121, USA",MyoGene Bio LLC,http://www.myogenebio.com/,0.9999999999999999,32.8987015,-117.1721107
Myriad Genetics,http://myriad.com,,,,,"Myriad Genetics, Inc. is an American genetic testing and precision medicine company based in Salt Lake City, Utah, United States.",Wikipedia,1432,"233 E Grand Ave., South San Francisco, CA 94080, USA",Myriad Women's Health,https://myriad.com/,0.9453333333333332,37.6551644,-122.3969176
NAMSA,https://namsa.com/,Irvine,,,Medical Research Organization - Medical Devices,,BPG,1435,"9 Morgan, Irvine, CA 92618, USA",NAMSA (Formerly North American Science Association),https://namsa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,0.9281632653061224,33.6533721,-117.713052
NAVAN Technologies,https://www.navanbio.com/,San Carlos,,,Cellular Transfection Technology,,BPG,1436,"733 Industrial Rd, San Carlos, CA 94070, USA","NAVAN Technologies, Inc.",http://navanbio.com/,0.9999999999999999,37.5092328,-122.2534626
NKGEN Biotech,https://nkgenbiotech.com/,Santa Ana,,,Autologous and allogenic Natural Killer cell therapy,,BPG,1440,"3001 Daimler St, Santa Ana, CA 92705, USA","NKGen Biotech, Inc.",http://www.nkgenbiotech.com/,0.9999999999999999,33.7038578,-117.8517732
NVIGEN,https://www.nvigen.com/,Campbell,,,Nanoparticle Delivery for Imaging,,BPG,1441,"1875 S Winchester Blvd Suite 203, Campbell, CA 95008, USA",Nvigen Inc,http://www.nvigen.com/,0.9999999999999999,37.2898348,-121.9502037
Nalu Medical,https://nalumed.com/,Carlsbad,,,Medical Devices,,BPG,1444,"2320 Faraday Ave #100, Carlsbad, CA 92008, USA",Nalu Medical,https://nalumed.com/,0.9999999999999999,33.1360967,-117.2757864
Nammi Therapeutics,https://www.nammirx.com/,Los Angeles,,,Nanocarriers Targeting Tumors,,BPG,1445,"10940 Wilshire Blvd STE 600, Los Angeles, CA 90024, USA",Nammi Therapeutics,http://nammirx.com/,0.9999999999999999,34.0581176,-118.4451238
NanoCellect Biomedical,https://nanocellect.com/,San Diego,,,Flow Cytometry Platform,,BPG,1447,"9525 Towne Centre Dr #150, San Diego, CA 92121, USA",NanoCellect Biomedical,https://nanocellect.com/,0.9999999999999999,32.8806451,-117.2068872
NanoImaging Services,https://www.nanoimagingservices.com/,San Diego,,,Cryo-EM Services,,BPG,1448,"4940 Carroll Canyon Rd UNIT 115, San Diego, CA 92121, USA",NanoImaging Services,https://www.nanoimagingservices.com/,0.9999999999999999,32.890696,-117.199476
NanoSomiX,http://www.nanosomix.com/,Aliso Viejo,,,Blood-based Neuro Assays,,BPG,1449,"27068 La Paz Rd, Aliso Viejo, CA 92656, USA",NanoSomix,http://www.nanosomix.com/,0.9999999999999999,33.5699189,-117.7068152
Nanome,https://nanome.ai/,San Diego,,,Virtual Reality Drug Discovery,,BPG,1450,"3655 Nobel Dr, San Diego, CA 92122, USA",Nanome Inc,https://nanome.ai/,0.9999999999999999,32.8678105,-117.2284322
Nanosyn,https://www.nanosyn.com/,Santa Clara,,,"Medicinal chemistry, drug screening",,BPG,1452,"3100 Central Expy, Santa Clara, CA 95051, USA",Nanosyn,https://www.nanosyn.com/,0.8999999999999999,37.3772254,-121.9836259
Nanotein,https://nanoteintech.com/,Berkeley,,,Next-gen CAR-T Cell Activation & Expansion,,BPG,1453,"2950 San Pablo Ave, Berkeley, CA 94702, USA",Nanotein Technologies,https://nanoteintech.com/,0.9504761904761904,37.8531904,-122.2874537
NantHealth,https://nanthealth.com/,El Segundo,,,Diagnostics,,BPG,1455,"2040 E Mariposa Ave, El Segundo, CA 90245, USA","NantHealth, Inc.",https://nanthealth.com/,0.9999999999999999,33.9229531,-118.3899321
Natera,https://www.natera.com/,San Carlos,,,Prenatal Testing,,BPG,1459,"201 Industrial Rd, San Carlos, CA 94070, USA",Natera,http://www.natera.com/,0.9999999999999999,37.5192783,-122.2641437
Nautilus Biotechnology,https://www.nautilus.bio/,San Carlos,,,"High-throughput, low-cost platform for analyzing and quantifying the human proteome",,BPG,1460,"835 Industrial Rd, San Carlos, CA 94070, USA","Nautilus Biotechnology, Inc",https://www.nautilus.bio/,0.9999999999999999,37.5067474,-122.2506431
Navega Therapeutics,https://navegatx.com/en,San Diego,,,Chronic Pain Treatment,,BPG,1461,"3210 Merryfield Row, San Diego, CA 92121, USA",Navega Therapeutics Inc,https://navegatx.com/en,0.9999999999999999,32.9006146,-117.2350009
Navigate BioPharma,https://www.navigatebp.com/,Carlsbad,,,Clinical Services,,BPG,1462,"1890 Rutherford Rd, Carlsbad, CA 92008, USA",Navigate Biopharma,https://www.navigatebp.com/,0.9999999999999999,33.1360961,-117.2831889
NeOnc Technologies,https://neonc.com/,Sacramento,,,Non-invasive cancer therapies,,BPG,1464,"Two Dole Dr, Westlake Village, CA 91362, USA","NeOnc Technologies, Inc",http://neonctech.com/,0.9,34.1516402,-118.8042698
