Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index,Google_Address,Google_Name,Google_Website,Confidence_Score,Latitude,Longitude
MediciNova,https://medicinova.com/,La Jolla,,,Small Molecules,,BPG,1345,"4275 Executive Square # 650, La Jolla, CA 92037, USA","MediciNova, Inc",http://medicinova.com/contact-us/,0.8999999999999999,32.8735829,-117.2150219
Meditrina,https://www.avetasystem.com/,San Jose,,,Single-use device for treatment of intrauterine pathologies,,BPG,1347,"1190 Saratoga Ave #180, San Jose, CA 95129, USA",Meditrina | Aveta System,https://www.avetasystem.com/,0.9527272727272728,37.3030231,-121.9792141
Medrio,https://medrio.com/,San Francisco,,,Clinical Trial Software,,BPG,1349,"345 California St Suite 600, San Francisco, CA 94104, USA",Medrio,http://medrio.com/,0.9999999999999999,37.7923252,-122.40049
Medtronic,https://www.medtronic.com/us-en/index.html,Santa Ana,,,Medical Devices,,BPG,1351,"1851 E Deere Ave, Santa Ana, CA 92705, USA",Medtronic Santa Ana,http://www.medtronic.com/,0.9578947368421052,33.7068904,-117.8492162
Meissner,https://www.meissner.com/,Camarillo,,,Lab Systems,,BPG,1352,"1001 Flynn Rd, Camarillo, CA 93012, USA",Meissner,http://www.meissner.com/,0.9999999999999999,34.2279079,-119.019533
Melinta Therapeutics,https://melinta.com/,,,,,Melinta Therapeutics is an American biopharmaceutical firm that focuses on the design and development of novel broad-spectrum antibiotics for the treatment of antibiotic-resistant infections in hos...,Wikipedia,1353,"389 Interpace Pkwy, Parsippany, NJ 07054, USA",Melinta Therapeutics,https://melinta.com/contact-us/,0.7999999999999999,40.8697891,-74.4523925
Melior Discovery,https://www.meliordiscovery.com,,,,,"Melior Discovery, Inc.",Wikipedia,1354,"860 Springdale Dr #500, Exton, PA 19341, USA",Melior Discovery,https://www.meliordiscovery.com/,0.7999999999999999,40.0289947,-75.5988674
Mercator MedSystems,https://mercatormed.com/,San Leandro,,,Catheter-guided infusion systems,,BPG,1359,"1900 Powell St #800, Emeryville, CA 94608, USA",Mercator Medsystems Inc,http://www.mercatormed.com/,0.9999999999999999,37.838396,-122.299769
Merck,https://www.merck.com/,South SF,,,"Small Molecules, Vaccines, Biologics",,BPG,1360,"213 E Grand Ave., South San Francisco, CA 94080, USA",Merck Research Laboratories,http://www.merck.com/,0.9485714285714285,37.65491,-122.3988193
Metagenomi,https://metagenomi.co/,Emeryville,,,Gene-Edited Microbial Treatments,,BPG,1368,"5959 Horton St, Emeryville, CA 94608, USA",Metagenomi,https://metagenomi.co/,0.9999999999999999,37.8411418,-122.291636
Micro Medical Devices,https://micromedinc.com/,Calabasas,,,Portable Eyecare Devices,,BPG,1370,"23945 Calabasas Rd #110, Calabasas, CA 91302, USA",Micro Medical Devices,https://micromedinc.com/?utm_source=OffSite&utm_medium=GMBandOtherOffSiteDirectories,0.9999999999999999,34.1536654,-118.649314
MicroPure Genomics,https://micropuregenomics.com/,San Diego,,,Sample Prep,,BPG,1371,"11526 Sorrento Valley Rd STE D-1, San Diego, CA 92121, USA",MicroPure Genomics Inc,https://micropuregenomics.com/,0.9999999999999999,32.9119412,-117.2332934
MicroRite,https://www.microrite.com/,San Jose,,,Consulting & Training,,BPG,1372,"5019 New Trier Ave, San Jose, CA 95136, USA",Microrite Inc,http://www.microrite.com/,0.9999999999999999,37.2608419,-121.863062
Microbiologics,https://www.microbiologics.com/,San Diego,,,"Diagnostics, Services",,BPG,1374,"6725 Mesa Ridge Rd, San Diego, CA 92121, USA",Microbiologics Global Virology Center,https://www.microbiologics.com/locations-san-diego,0.9502702702702702,32.9011882,-117.1743428
Mikroscan Technologies,https://www.mikroscan.com/,Vista,,,Pathology Technology,,BPG,1378,"2420 Grand Ave Suite G-2, Vista, CA 92081, USA",Mikroscan Technologies,https://www.mikroscan.com/,0.9999999999999999,33.1549365,-117.2236767
Milagen,https://www.milagen.com/,Emeryville,,,"Tissue Analysis, Cancer Detection",,BPG,1379,"1255 Park Ave B, Emeryville, CA 94608, USA",Milagen Inc,http://www.milagen.com/,0.9999999999999999,37.8310902,-122.2841081
MilliporeSigma,https://www.sigmaaldrich.com/US/en,Carlsbad,,,Clinical Manufacturing,,BPG,1381,"2827 Whiptail Loop W, Carlsbad, CA 92010, USA",MilliporeSigma (Formerly SAFC Carlsbad),https://www.sigmaaldrich.com/US/en/services/contract-manufacturing/viral-vector-manufacturing,0.9502702702702702,33.1424672,-117.2547093
Mindera,https://minderahealth.com/,Vista,,,Non-invasive skin cancer test,,BPG,1384,"1221 Liberty Way, Vista, CA 92081, USA",Mindera Health,http://minderahealth.com/,0.9600000000000001,33.1375201,-117.2311424
Mindstate Design Labs,https://www.mindstate.design/,South SF,,,Psychedelics,,BPG,1385,"611 Gateway Blvd Ste 120, South San Francisco, CA 94080, USA",Mindstate Design Labs,https://www.mindstate.design/,0.9999999999999999,37.65869929999999,-122.4001555
Minerva Surgical,https://minervasurgical.com/,Santa Clara,,,Endometrial Ablation System,,BPG,1386,"4255 Burton Dr, Santa Clara, CA 95054, USA","Minerva Surgical, Inc.",https://www.minervasurgical.com/,0.9999999999999999,37.3917808,-121.9630813
MingSight Pharmaceuticals,https://mingsight.com/,San Diego,,,selective inhibitor of protein kinase C beta,,BPG,1387,"11318 Village Ridge Rd, San Diego, CA 92131, USA",Mingsight Pharmaceuticals Inc,,0.7999999999999999,32.9366138,-117.0882084
MiraDx,https://miradx.com/,Los Angeles,,,Breast Cancer Diagnostics,,BPG,1390,"11601 Wilshire Blvd Suite 105 Plaza Level, Los Angeles, CA 90025, USA",MiraDx,https://www.miradx.com/,0.9999999999999999,34.050936,-118.460026
Mirum Pharmaceuticals,https://mirumpharma.com/,Foster City,,,Small Molecules,,BPG,1393,"989 E Hillsdale Blvd #300, Foster City, San Mateo, CA 94404, USA","Mirum Pharmaceuticals, Inc.",,0.7999999999999999,37.5579497,-122.2732616
